ID,Topic No.,Topic Name,Q.No,Question,Q.Image,A,A.Image,B,B.Image,C,C.Image,D,D.Image,Answer
1,1,Alertness,1,What should you do before making a U-turn?,No,Give an arm signal as well as using your indicators,No,Check road markings to see that U-turns are permitted,No,Look over your shoulder for a final check,No,Select a higher gear than normal,No,C
2,1,Alertness,2,What should you do as you approach this bridge?,Yes,Move to the right,No,Slow down,No,Change gear,No,Keep to 30 mph,No,B
3,1,Alertness,3,Where should you avoid overtaking?,No,Just after a bend,No,In a one-way street,No,On a 30 mph road,No,Approaching a dip in the road,No,D
4,1,Alertness,4,What does this curved arrow road marking mean?,Yes,Heavy vehicles should take the next road on the left to avoid a weight limit,No,The road ahead bends to the left,No,Overtaking traffic should move back to the left,No,The road ahead has a camber to the left,No,C
5,1,Alertness,5,What should you do if your mobile phone rings while you're driving or riding?,No,Stop immediately,No,Answer it immediately,No,Leave it until you have stopped in a safe place,No,Pull up at the nearest kerb,No,C
6,1,Alertness,6,Why are these yellow lines painted across the road?,Yes,To help you choose the correct lane,No,To help you keep the correct separation distance,No,To make you aware of your speed,No,To tell you the distance to the roundabout,No,C
7,1,Alertness,7,What should you do when you're approaching traffic lights that have been green for some time?,No,Accelerate hard,No,Maintain your speed,No,Be ready to stop,No,Brake hard,No,C
8,1,Alertness,8,What should you do before slowing down or stopping your vehicle?,No,Sound the horn,No,Use the mirrors,No,Select a higher gear,No,Flash the headlights,No,B
9,1,Alertness,9,You're following a large vehicle. Why should you stay a safe distance behind it?,No,You'll be able to corner more quicky,No,You'll help the large vehicle to stop more easily,No,You'll give the drvier a chance to see you in their morrors,No,You'll keep out of the wind better,No,C
10,1,Alertness,10,Why should you use your mirrors when you see a hazard ahead?,No,Because you'll need to accelerate out of danger,No,To assess how your actions will affect the traffic behind,No,Because you'll need to brake sharply and stop,No,To check what's happening on the road ahead,No,B
11,1,Alertness,11,You're waiting to turn right at the end of a road. What should you do if your view is obstructed by parked vehicles?,No,Stop and then move forward slowly and carefully for a clear view,No,Move quickly to where you can see so you only block traffic from one direction,No,Wait for a pedestrian to let you know when it's safe for you to emerge,No,Turn your vehicle around immediately and find another junction to use,No,A
12,1,Alertness,12,There are objects hanging from your interior mirror. Why could this be a hazard?,No,Your view could be obstructed,No,Your sun visor might get tangled,No,Your radio reception might be affected,No,Your windscreen could mist up more easily,No,A
13,1,Alertness,13,You're on a long motorway journey. What should you do if you start to feel sleepy?,No,Play some loud music,No,Stop on the hard shoulder for a rest,No,Drive faster to complete your journey sooner,No,Leave the motorway and stop in a safe place,No,D
