ID,Topic No.,Topic Name,Q.No,Question,Q.Image,A,A.Image,B,B.Image,C,C.Image,D,D.Image,Answer
27,2,Attitude,1,What must you do when the amber light is flashing at a pelican crossing?,no,Stop and wait for the green light,no,Stop and wait for the red light,no,Give way to pedestrians waiting to cross,no,Give way to pedestrians already on the crossing,no,D
28,2,Attitude,2,Why should you never wave people across at pedestrian crossings?,no,Another vehicle may be coming,no,They may not be looking,no,It's safer for you to carry on,no,They may not be ready to cross,no,A
29,2,Attitude,3,Why is it dangerous to drive too close to the vehicle ahead?,no,Your engine will overheat,no,Your mirrors will need adjusting,no,Your view of the road ahead will be restricted,no,Your satnav will be confused,no,C
30,2,Attitude,4,What will happen if you follow this vehicle too closely?,yes,Your brakes will overheat.,no,Your fuel consumption will be increased.,no,Your engine will overheat.,no,Your view ahead will be reduced.,no,D
31,2,Attitude,5,What's the minimum time gap you should leave when following a vehicle on a wet road?,no,One second,no,Two seconds,no,Three seconds,no,Four seconds,no,D
32,2,Attitude,6,"You're being overtaken by a long, heavily laden lorry. What should you do if it's taking a long time for it to overtake?",no,Speed up,no,Slow down,no,Hold your speed,no,Change direction,no,B
33,2,Attitude,7,Which vehicle will use a blue flashing beacon?,no,Motorway maintenance ,no,Bomb disposal ,no,Snow plough,no,Breakdown recovery ,no,B
34,2,Attitude,8,What should you do if you're being followed by an ambulance showing flashing blue light?,no,Pull over as soon as it's safe to do so,no,Accelerate hard to get away from it,no,Maintain your speed and course,no,Brake harshly and stop well out into the road,no,A
35,2,Attitude,9,What type of emergency vehicle is fitted with a green flashing beacon?,no,Fire engine,no,Road gritter,no,Ambulance,no,Doctor's car,no,D
36,2,Attitude,10,Who should obey diamond-shaped traffic signs?,yes,Tram drivers,no,Bus drivers,no,Lorry drivers,no,Taxi drivers,no,A
37,2,Attitude,11,"On a road where trams operate, which vehicles will be most at risk from the tram rails?",no,Cars,no,Cycles,no,Buses,no,Lorries,no,B
38,2,Attitude,12,When should you use your vehicle's horn?,no,To alert others to your presence,no,To allow you right of way,no,To greet other road users,no,To signal your annoyance,no,A
39,2,Attitude,13,You're in a one-way street and want to turn right. Where should you position your vehicle when there are two lanes?,no,In the right-hand lane,no,In the left-hand lane,no,"In either lane, depending on the traffic",no,Just left of the centre line,no,A
40,2,Attitude,14,You wish to turn right ahead. Why should you take up the correct position in good time?,no,To allow other drivers to pull out in front of you,no,To give a better view into the road that you're joining,no,To help other road users know what you intend to do,no,To allow drivers to pass you on the right,no,C
41,2,Attitude,15,Which type of crossing allows cyclists to ride across while pedestrians are also crossing?,no,Toucan,no,Puffin,no,Pelican,no,Zebra,no,A
42,2,Attitude,16,"You're travelling at the legal speed limit. What should you do if the vehicle behind approaches quickly, flashing its headlights?",no,Accelerate to make a gap behind you,no,Touch the brakes sharply to show your brake lights,no,Maintain your speed to prevent the vehicle from overtaking,no,Allow the vehicle to overtake,no,D
