ID,Topic No.,Topic Name,Q.No,Question,Q.Image,A,A.Image,B,B.Image,C,C.Image,D,D.Image,Answer
649,12,Essential Documents,1,For how long is an MOT certificate normally valid?,no,Three years after the date it was issued,no,"10,000 miles",no,One year after the date it was issued,no,"30,000 miles",no,C
650,12,Essential Documents,2,What's a cover note?,no,A document issued before you receive your driving licence,no,A document issued before you receive your insurance certificate,no,A document issued before you receive your registration document,no,A document issued before you receive your MOT certificate,no,B
651,12,Essential Documents,3,You've just passed your first practical driving test. What will you have to do if you get six penallty points on your licence in the next two years?,no,Retake only your theory test,no,Retake your theory and practical tests,no,Retake only your practical test,no,Reapply for your full licence immediately,no,B
652,12,Essential Documents,4,For how long is a Statutory Off-Road Notification (SORN) valid?,no,"Until the vehicle is taxed, sold or scrapped",no,Until the vehicle is insured and MOT'd,no,Until the vehicle is repaired or modified,no,until the vehicle is used on the road,no,A
653,12,Essential Documents,5,What's a Statutory Off-Road Notification (SORN) ?,no,A notification to tell DVSA that a vehicle doesn't have a current MOT,no,Information kept by the police about the owner of a vehicle,no,A notification to tell DVLA that a vehicle isn't being used on the road,no,Information held by insurance companies to check a vehicle is insured,no,C
654,12,Essential Documents,6,What's the maximum fine for driving or riding without insurance?,no,Unlimited,no,500,no,1000,no,5000,no,A
655,12,Essential Documents,7,Who's legally responsible for ensuring that a vehicle registration cartificate (V5C) is updated?,no,The registered vehicle keeper,no,The vehicle manufacturer,no,Your insurance company,no,The licensing authority,no,A
656,12,Essential Documents,8,Your insurer will issue you with an insurance certificate. When must you produce this document for inspection?,no,When making a SORN,no,When buying or selling a vehicle,no,When a police officer asks you for it,no,When your vehicle is having an MOT test,no,C
657,12,Essential Documents,9,When must your vehicle have valid insurance cover?,no,Before you can make s SORN,no,Before you can sell the vehicle,no,Before you can scrap the vehicle,no,Before you can tax the vehicle,no,D
658,12,Essential Documents,10,What do you need before you can legally use a motor vehicle on the road?,no,An appropriate driving licence,no,Breakdown cover,no,Proof of your identity,no,A vehicle handbook,no,A
659,12,Essential Documents,11,What must you have when you apply to renew your vehicle tax?,no,Valid insurance,no,The vehicle's chassis number,no,The handbook,no,A valid driving lecence,no,A
