ID,Topic No.,Topic Name,Q.No,Question,Q.Image,A,A.Image,B,B.Image,C,C.Image,D,D.Image,Answer
177,5,Hazard Awareness,1,Where would you expect to see these markers?,yes,On a motorway sign,no,On a railway bridge,no,On a large goods vehicle,no,On a diversion sign,no,C
178,5,Hazard Awareness,2,What's the main hazard shown in this picture?,yes,Vehicles turning right,no,Vehicles doing U-turns,no,The cyclist crossing the road,no,Parked cars around the corner,no,C
179,5,Hazard Awareness,3,Which road user has caused a hazard?,yes,The parked car (arrowed A),no,The pedestrian waiting to cross (arrowed B),no,The moving car (arrowed C),no,The car turning (arrowed D),no,A
180,5,Hazard Awareness,4,What should the driver of the car approaching the crossing do?,yes,Continue at the same speed,no,Sound the horn,no,Drive through quickly,no,Slow down and get ready to stop,no,D
181,5,Hazard Awareness,5,What should the driver of the grey car be especially aware of?,yes,The uneven road surface,no,Traffic following behind,no,Doors opening on parked cars,no,Empty parking spaces,no,C
182,5,Hazard Awareness,6,What should you expect if you see this sign ahead?,yes,The road will go steeply uphill,no,The road will go steeply downhill,no,The road will bend sharply to the left,no,The road will bend sharply to the right,no,C
183,5,Hazard Awareness,7,What should you do as you approach this cyclist?,yes,Try to overtake before the cyclist gets to the junction,no,Flash your headlights at the cyclist,no,Slow down and allow the cyclist to turn,no,Rev your engine so the cyclist knows you're following behind,no,C
184,5,Hazard Awareness,8,Why must you take great care when emerging from this junction?,yes,The road surface is poor,no,The footpath is narrow,no,The kerbs are high,no,The view is restricted,no,D
185,5,Hazard Awareness,9,Which type of vehicle should you be ready to give way to as you approach this bridge?,yes,Bicycles,no,Buses,no,Motorcycles,no,Cars,no,B
186,5,Hazard Awareness,10,What type of vehicle could you expect to meet in the middle of the road?,yes,Lorry ,no,Bicycle,no,Car,no,Motorcycle,no,A
187,5,Hazard Awareness,11,What must you do at this junction?,yes,"Stop behind the line, then edge forward to see clearly",no,"Stop beyond the line, at a point where you can see clearly",no,Stop only if there's traffic on the main road,no,Stop only if you're turning right,no,A
188,5,Hazard Awareness,12,"What should you do if a driver pulls out of a side road in front of you, causing you to brake hard?",no,Ignore the error and stay calm,no,Flash your lights to show your annoyance,no,Sound your horn to show your annoyance,no,Overtake as soon as possible,no,A
189,5,Hazard Awareness,13,How would age affect an older person's driving ability?,no,They won't be able to obtain car insurance,no,They'll need glasses to read road signs,no,They'll take longer to react to hazards,no,They won't signal at junctions,no,C
190,5,Hazard Awareness,14,Do you need to plan rest stops when you're planning a long journey?,no,"Yes, you should plan to stop every half an hour",no,"Yes, regular stops help concentration",no,"No, you'll be less tired if you get there as soon as possible",no,"No, only fuel stops will be needed",no,B
191,5,Hazard Awareness,15,What should you do if the red lights start flashing as you approach a level crossing?,yes,Go over it quickly,no,Go over it carefully,no,Stop before the barrier ,no,Switch on your hazard warning lights,no,C
192,5,Hazard Awareness,16,You're approaching a crossroads. What should you do if the traffic lights have failed?,no,Brake and stop only for large vehicles,no,Brake sharply to a stop before looking,no,Be prepared to brake sharply to a stop,no,Be prepared to stop for any traffic,no,D
193,5,Hazard Awareness,17,What should the driver of the red car (arrowed) do?,yes,Wave towards the pedestrians who are waiting to cross,no,Wait for the pedestrian in the road to cross,no,Quickly drive behind the pedestrian in the road,no,Tell the pedestrian in the road she shouldn't have crossed,no,B
194,5,Hazard Awareness,18,You're following a slower-moving vehicle. What should you do if there's a junction just ahead on the right?,no,Overtake after checking your mirrors and signalling,no,Only consider overtaking when you're past the junction,no,Accelerate quickly to overtake before reaching the junction,no,Slow down and prepare to overtake on the left,no,B
195,5,Hazard Awareness,19,What should you do as you approach this overhead bridge?,yes,Move out to the centre of the road before going through,no,Find another route; this one is only for high vehicles,no,Be prepared to give way to large vehicles in the middle of the road,no,Move across to the right-hand side before going through,no,C
196,5,Hazard Awareness,20,Why are vehicle mirrors often slightly curved (convex)?,no,They give a wider field of vision,no,They totally cover blind spots,no,They make it easier to judge the speed of the traffic behind,no,They make the traffic behind look bigger,no,A
197,5,Hazard Awareness,21,You're on a three-lane motorway. How should you overtake a slow-moving lorry in the middle lane if it's showing this sign?,yes,"Cautiously approach the lorry, then overtake on either side",no,Follow the lorry until you can leave the motorway,no,Use the right-hand lane and overtake the lorry normally,no,Approach with care and overtake on the left of the lorry,no,D
198,5,Hazard Awareness,22,What should you do if you think the driver of the vehicle in front has forgotten to cancel their right indicator?,no,Flash your lights to alert the driver,no,Sound your horn before overtaking,no,Overtake on the left if there's room,no,Stay behind and don't overtake,no,D
199,5,Hazard Awareness,23,What's the main hazard the driver of the red car (arrowed) should be aware of?,yes,Glare from the sun may affect the driver's vision,no,The black car may stop suddenly,no,The bus may move out into the road,no,Oncoming vehicles will assume the driver is turning right,no,C
200,5,Hazard Awareness,24,What type of vehicle displays this yellow sign?,yes,A broken-down vehicle,no,A school bus,no,An ice-cream van,no,A private ambulance,no,B
201,5,Hazard Awareness,25,What hazard should you be aware of when travelling along this street?,yes,Glare from the sun,no,Lack of road markings,no,Children running out between vehicles,no,Large goods vehicles,no,C
202,5,Hazard Awareness,26,What's the main hazard you should be aware of when following this cyclist?,yes,The cyclist may move to the left and dismount,no,The cyclist may swerve into the road,no,The cyclist may get off and push their bicycle,no,The cyclist may wish to turn right at the end of the road,no,B
203,5,Hazard Awareness,27,A driver's behaviour has upset you. How can you get over this incident safely?,no,Stop and take a break,no,Shout abusive language,no,Gesture to them with your hand,no,"Follow them, flashing your headlights",no,A
204,5,Hazard Awareness,28,How should you drive in areas with traffic-calming measures?,no,At a reduced speed,no,At the speed limit,no,In the centre of the road,no,With headlights on dipped beam,no,A
205,5,Hazard Awareness,29,Why should you slow down as you approach this hazard?,yes,Because of the level crossing,no,Because it's hard to see to the right,no,Because of approaching traffic,no,Because of animals crossing,no,A
206,5,Hazard Awareness,30,Why are place names painted on the road surface?,no,To restrict the flow of traffic,no,To warn of oncoming traffic,no,To help you select the correct lane in good time,no,To prevent you from changing lanes,no,C
207,5,Hazard Awareness,31,Some two-way roads are divided into three lanes. Why are they particularly dangerous?,no,Traffic in both directions can use the middle lane to overtake,no,Traffic can travel faster in poor weather conditions,no,Traffic can overtake on the left,no,Traffic uses the middle lane for emergencies only,no,A
208,5,Hazard Awareness,32,What type of vehicle uses an amber flashing beacon on a dual carriageway?,no,An ambulance,no,A fire engine,no,A doctor on call,no,A tractor,no,D
209,5,Hazard Awareness,33,What does this signal from a police officer mean to oncoming traffic?,yes,Go ahead,no,Stop,no,Turn left,no,Turn right,no,B
210,5,Hazard Awareness,34,Why should you be cautious when going past this bus waiting at a bus stop?,yes,There's a zebra crossing ahead,no,There are driveways on the left,no,People may cross the road in front of it ,no,The road surface will be slippery,no,C
211,5,Hazard Awareness,35,Where would it be unsafe to overtake?,no,On a single carriageway,no,On a one-way street,no,Approaching a junction,no,Travelling up a long hill,no,C
212,5,Hazard Awareness,36,How can drinking alcohol affect your ability to drive?,no,Your ability to judge speed will be reduced,no,Your confidence will be reduced,no,Your reactions will be faster,no,Your awareness of danger will be improved,no,A
213,5,Hazard Awareness,37,What does the solid white line at the side of the road indicate?,yes,Traffic lights ahead,no,Edge of the carriageway,no,Footpath on the left,no,Cycle path,no,B
214,5,Hazard Awareness,38,You're driving towards this level crossing. What would be the first warning of an approaching train?,yes,Both half-barriers down,no,A steady amber light,no,One half-barrier down,no,Twin flashing red lights,no,B
215,5,Hazard Awareness,39,"You're behind this cyclist. When the traffic lights change, what should you do?",yes,Try to move off before the cyclist,no,Allow the cyclist time and room,no,Turn right but give the cyclist room,no,Tap your horn and drive through first,no,B
216,5,Hazard Awareness,40,You intend to turn left at the traffic lights. What should you do just before turning?,yes,Check your right mirror,no,Move up closer to the car ahead,no,Move out to the right,no,Check for bicycles on your left,no,D
217,5,Hazard Awareness,41,Why should you reduce your speed here?,yes,A staggered junction is ahead,no,A low bridge is ahead,no,The road surface changes ahead,no,The road narrows ahead,no,A
218,5,Hazard Awareness,42,What might you expect to happen in this situation?,yes,Traffic will move into the right-hand lane,no,Traffic speed will increase,no,Traffic will move into the left-hand lane,no,Traffic won't need to change position,no,C
219,5,Hazard Awareness,43,You're driving on a road with several lanes. What do these signs above the lanes mean?,yes,The two right lanes are open,no,The two left lanes are open,no,Traffic in the left lanes should stop,no,Traffic in the right lanes should stop,no,B
220,5,Hazard Awareness,44,You're invited to a pub lunch. What should you do if you know that you'll have to drive in the evening?,yes,Avoid mixing your alcoholic drinks,no,Don't drink any alcohol at all,no,Have some milk before drinking alcohol,no,Eat a hot meal with your alcoholic drinks,no,B
221,5,Hazard Awareness,45,What will become more expensive after you've been convicted of driving while unfit through drink or drugs?,no,Road fund licence,no,Insurance premiums,no,Vehicle test certificate,no,Driving licence,no,B
222,5,Hazard Awareness,46,What advice should you give to a driver who has had a few alcoholic drinks at a party?,no,Have a strong cup of coffee and then drive home,no,Drive home carefully and slowly,no,Go home by public transport,no,Wait a short while and then drive home,no,C
223,5,Hazard Awareness,47,What should you do about driving if you've been taking medicine that causes drowsiness?,no,Only drive if your journey is necessary,no,Drive on quiet roads,no,Ask someone to come with you,no,Avoid driving and check with your doctor,no,D
224,5,Hazard Awareness,48,What should you do if a doctor prescribes drugs that are likely to affect your driving?,no,Only drive if someone is with you,no,Avoid driving on motorways,no,Get someone else to drive,no,Never drive at more than 30 mph,no,C
225,5,Hazard Awareness,49,What must you do if your ability to drive is impaired during a period of illness?,no,See your doctor each time before you drive,no,Take smaller doses of any medicines,no,Stop driving until you're fit to drive again,no,Take all your medicines with you when you drive,no,C
226,5,Hazard Awareness,50,What should you do if you begin to feel drowsy while you're driving?,no,Stop and rest as soon as possible,no,Turn the heater up to keep you warm and comfortable,no,Close the car windows to help you concentrate,no,Continue with your journey but drive more slowly,no,A
227,5,Hazard Awareness,51,What should you do if you become tired while you're driving on a motorway?,no,Pull up on the hard shoulder and change drivers,no,Leave the motorway at the next exit and rest,no,Increase your speed and turn up the radio volume,no,Close all your windows and set the heating to warm,no,B
228,5,Hazard Awareness,52,You're about to drive home. What should you do if you feel very tired and have a severe headache?,no,Wait until you're fit and well before driving,no,"Drive home, but take a tablet for headaches",no,Drive home if you can stay awake for the journey,no,"Wait for a short time, then drive home slowly",no,A
229,5,Hazard Awareness,53,What can you do to help prevent tiredness on a long journey?,no,Eat a large meal before driving,no,Take regular refreshment breaks,no,Play loud music in the car,no,Complete the journey without stopping,no,B
230,5,Hazard Awareness,54,You take some cough medicine given to you by a friend. What should you do before driving your car?,no,Ask your friend if taking the medicine affected their driving,no,Drink some strong coffee one hour before driving,no,Check the label to see if the medicine will affect your driving,no,Drive a short distance to see if the medicine is affecting your driving,no,C
231,5,Hazard Awareness,55,You're driving on a one-way street. What should you do if you realise you've taken the wrong route?,yes,Reverse out of the road,no,Turn around in a side road,no,Continue and find another route,no,Reverse into a driveway,no,C
232,5,Hazard Awareness,56,What will be a serious distraction while you're driving?,no,Looking at road maps,no,Switching on your demister,no,Using your windscreen washers,no,Looking in your door mirror,no,A
233,5,Hazard Awareness,57,What should you do if the vehicle starts reversing off the driveway?,yes,Move to the opposite side of the road,no,Drive through as you have priority,no,Sound your horn and be prepared to stop,no,Speed up and drive through quickly,no,C
234,5,Hazard Awareness,58,You've been involved in an argument that's made you feel angry. What should you do before starting your journey?,no,Open a window,no,Turn on your radio,no,Have an alcoholic drink,no,Calm down,no,D
235,5,Hazard Awareness,59,You're driving on this dual carriageway. Why may you need to slow down?,yes,There's a broken white line in the centre,no,There are solid white lines on either side,no,There are roadworks ahead of you,no,There are no footpaths,no,C
236,5,Hazard Awareness,60,You've just been overtaken by this motorcyclist. What should you do if the rider cuts in sharply?,yes,Sound the horn,no,Brake firmly,no,Keep a safe gap,no,Flash your lights,no,C
237,5,Hazard Awareness,61,You're about to drive your car. What should you do if you can't find the glasses you need to wear?,no,"Drive home slowly, keeping to quiet roads",no,Borrow a friend's glasses and use those,no,"Drive home at night, so that the lights will help you",no,Find a way of getting home without driving,no,D
238,5,Hazard Awareness,62,How does drinking alcohol affect your driving behaviour?,no,It improves judgement skills,no,It increases confidence,no,It leads to faster reactions,no,It increases concentration,no,B
239,5,Hazard Awareness,63,Why should you check the information leaflet before taking any medicine?,no,Drug companies want customer feedback on their products,no,You may have to let your insurance company know about the medicine,no,Some types of medicine can affect your ability to drive safely,no,The medicine you take may affect your hearing,no,C
240,5,Hazard Awareness,64,You need glasses to read a vehicle number plate at the required distance. When must you wear them?,no,Only in bad weather conditions,no,Whenever you're driving,no,When you think it's necessary,no,Only at night time,no,B
241,5,Hazard Awareness,65,Which type of glasses would make driving at night more difficult?,no,Half-moon ,no,Round ,no,Bifocal ,no,Tinted ,no,D
