ID,Topic No.,Topic Name,Q.No,Question,Q.Image,A,A.Image,B,B.Image,C,C.Image,D,D.Image,Answer
392,9,Motorway rules,1,You're joining a motorway from a slip road. How should you deal with traffic already on the motorway?,no,Carry on along the hard shoulder until you see a safe gap,no,Stop at the end of the slip road and look for a safe gap,no,Use the slip road to accelerate until you're moving much faster than the motorway traffic,no,Match your speed to traffic in the left-hand lane and filter into a safe gap,no,D
393,9,Motorway rules,2,What's the national speed limit on motorways for cars and motorcycles?,no,30 mph,no,50 mph,no,60 mph,no,70 mph,no,D
394,9,Motorway rules,3,Which vehicles should use the left-hand lane on a three-lane motorway?,yes,Any vehicle that isn't overtaking,no,Large vehicles only,no,Emergency vehicles only,no,Slow vehicles only,no,A
395,9,Motorway rules,4,Which vehicles aren't allowed to use the right-hand lane of a three-lane motorway?,no,Small delivery vans,no,Motorcycles,no,Vehicles towing a trailer,no,Motorcycle and sidecar outfits,no,C
396,9,Motorway rules,5,Your vehicle breaks down on a motorway and you need to call for help. Why might it be better to use an emergency roadside telephone rather than a mobile phone?,no,It connects you to a local garage,no,Using a mobile phone will distract other drivers,no,It allows easy location by the emergency services,no,Mobile phones don't work on motorways,no,C
397,9,Motorway rules,6,"Your vehicle broke down on the hard shoulder of a motorway, but has now been repaired. How should you rejoin the main carriageway?",no,"Move out onto the carriagewa, then build up your speed",no,Move out onto the carriafeway using your hazard warning lights,no,Gain speed on the hard shoulder before moving out onto the carriageway,no,Wait on the hard shoulder until someone flashes their headlights at you,no,C
398,9,Motorway rules,7,You're travelling along a motorway. Where would you find a crawler or climbing lane?,yes,On a steep gradient,no,Before a service area,no,Before a junction,no,Along the hard shoulder,no,A
399,9,Motorway rules,8,What do these motorway signs mean?,yes,They're countdown markers to a bridge,no,They're distance markers to the next telephone,no,They're countdown markers to the next exit,no,They want of a police control ahead,no,C
400,9,Motorway rules,9,Where are amber reflective studs found on a motorway?,no,Between the hard shoulder and the carriageway,no,Between the acceleration lane and the carriageway,no,Between the central reservation and the carriageway,no,Between each pair of lanes,no,C
401,9,Motorway rules,10,What colour are the reflective studs between the lanes on a motorway?,yes,Green,no,Amber,no,White,no,Red,no,C
402,9,Motorway rules,11,What colour are the reflective studs between a motorway and a slip road?,no,Amber,no,White,no,Green,no,Red,no,C
403,9,Motorway rules,12,Your vehicle has broken down on a motorway. In which direction should you walk to find the nearest emergency telephone?,no,With the traffic flow,no,Facing oncoming traffic,no,In the direction shown on the marker posts,no,In the direction of the nearest exit,no,C
404,9,Motorway rules,13,Why is it important to make full use of the slip road as you join a motorway?,no,Because there's space available to turn round if you need to,no,To allow you direct access to the overtaking lanes,no,To allow you to fit safely into the traffic flow in the left-hand lane,no,Because you can continue on the hard shoulder,no,C
405,9,Motorway rules,14,How should you position yourself when you use the emergency telephone on a motorway?,no,Stay close to the carriageway,no,Face the oncoming traffic,no,Keep your back to the traffic,no,Stand on the hard shoulder,no,B
406,9,Motorway rules,15,What colour are the reflective studs between the hard shoulder and the left-hane lane of a motorway?,no,Green,no,Red,no,White,no,Amber,no,B
407,9,Motorway rules,16,"On a three-lane motorway, which lane shoulde you use if there's no traffic ahead?",no,Left,no,Right,no,Centre,no,Either the right or centre,no,A
408,9,Motorway rules,17,What should you do when going through a contraflow system on a motorway?,yes,Use dipped headlights,no,Keep a good distance from the vehicle ahead,no,Switch lanes to keep the traffic flowring,no,Stay close to the vehicle ahead to reduce queues,no,B
409,9,Motorway rules,18,You're on a three-lane motorway. Which lane are you in if there are red reflective studs on your left and white ones to your right?,yes,In the right-hand lane,no,In the middle lane,no,On the hard shoulder,no,In the left-hand lane,no,D
