Option,QuestionId,Option Image,IsCorrect
'Give an arm signal as well as using your indicators',1,null,
'Check road markings to see that U-turns are permitted',1,null,
'Look over your shoulder for a final check',1,null,1
'Select a higher gear than normal',1,null,
'Move to the right',2,null,
'Slow down',2,null,1
'Change gear',2,null,
'Keep to 30 mph',2,null,
'Just after a bend',3,null,
'In a one-way street',3,null,
'On a 30 mph road',3,null,
'Approaching a dip in the road',3,null,1
'Heavy vehicles should take the next road on the left to avoid a weight limit',4,null,
'The road ahead bends to the left',4,null,
'Overtaking traffic should move back to the left',4,null,1
'The road ahead has a camber to the left',4,null,
'Stop immediately',5,null,
'Answer it immediately',5,null,
'Leave it until you have stopped in a safe place',5,null,1
'Pull up at the nearest kerb',5,null,
'To help you choose the correct lane',6,null,
'To help you keep the correct separation distance',6,null,
'To make you aware of your speed',6,null,1
'To tell you the distance to the roundabout',6,null,
'Accelerate hard',7,null,
'Maintain your speed',7,null,
'Be ready to stop',7,null,1
'Brake hard',7,null,
'Sound the horn',8,null,
'Use the mirrors',8,null,1
'Select a higher gear',8,null,
'Flash the headlights',8,null,
'You'll be able to corner more quicky',9,null,
'You'll help the large vehicle to stop more easily',9,null,
'You'll give the drvier a chance to see you in their morrors',9,null,1
'You'll keep out of the wind better',9,null,
'Because you'll need to accelerate out of danger',10,null,
'To assess how your actions will affect the traffic behind',10,null,1
'Because you'll need to brake sharply and stop',10,null,
'To check what's happening on the road ahead',10,null,
'Stop and then move forward slowly and carefully for a clear view',11,null,1
'Move quickly to where you can see so you only block traffic from one direction',11,null,
'Wait for a pedestrian to let you know when it's safe for you to emerge',11,null,
'Turn your vehicle around immediately and find another junction to use',11,null,
'Your view could be obstructed',12,null,1
'Your sun visor might get tangled',12,null,
'Your radio reception might be affected',12,null,
'Your windscreen could mist up more easily',12,null,
'Play some loud music',13,null,
'Stop on the hard shoulder for a rest',13,null,
'Drive faster to complete your journey sooner',13,null,
'Leave the motorway and stop in a safe place',13,null,1
'To make your dials easier to see',14,null,
'So others can see you more easily',14,null,1
'So that you blend in with other drivers',14,null,
'Because the street lights are lit',14,null,
'Using a mobile phone',15,null,1
'Using the windscreen wipers',15,null,
'Using the demisters',15,null,
'Using the mirrors',15,null,
'When you're receiving a call',16,null,
'When you've parked safely',16,null,1
'When you're drivng at less than 30 mph',16,null,
'When your car has automatic transmission',16,null,
'Apply the parking brake and footbrake together',17,null,
'Keep both hands on the steering wheel',17,null,1
'Select reverse gear',17,null,
'Give an arm signal',17,null,
'Give a signal after moving off',18,null,
'Look around before moving off',18,null,1
'Look around after moving off',18,null,
'Use the exterior mirrors only',18,null,
'Sound your horn as you pass',19,null,
'Keep close to them as you pass',19,null,
'Leave them plenty of room as you pass',19,null,1
'Change down one gear before you pass',19,null,
'When you're driving on a motorway',20,null,
'When you're driving on a dual carriageway',20,null,
