ID,Topic No.,Topic Name,Q.No,Question,Q.Image,A,A.Image,B,B.Image,C,C.Image,D,D.Image,Answer
255,6,Vulnerable road users,1,Which sign means that there may be people walking along the road?,no,,yes,,yes,,yes,,yes,D
256,6,Vulnerable road users,2,What should you do if you want to turn left at a junction where pedestrians have started to cross?,yes,"Go around them, leaving plenty of room",no,Stop and wave at them to cross,no,Sound your horn and proceed,no,Give way to them,no,D
257,6,Vulnerable road users,3,What hazard should you be especially aware of if you're turning left into a side road?,no,One-way street,no,Pedestrians ,no,Traffic congestion,no,Parked vehicles,no,B
258,6,Vulnerable road users,4,Why should you check for motorcyclists just before turning right into a side road?,no,They may be overtaking on your left,no,They may be following you closely,no,They may be emerging from the side road,no,They may be overtaking on your right,no,D
259,6,Vulnerable road users,5,Why is a toucan crossing different from other crossings?,no,Moped riders can use it,no,It's controlled by a traffic warden,no,It's controlled by two flashing lights,no,Pedestrians and cyclists can use it together,no,D
260,6,Vulnerable road users,6,How will a school crossing patrol signal you to stop?,no,By pointing to children waiting to cross,no,By displaying a red light,no,By displaying a 'stop' sign ,no,By giving you an arm signal,no,C
261,6,Vulnerable road users,7,Where would you see this sign?,yes,In the window of a car taking children to school,no,At the side of the road,no,At playground areas,no,On the rear of a school bus or coach,no,D
262,6,Vulnerable road users,8,What does this sign mean?,yes,No route for pedestrians and cyclists,no,A route for pedestrians only,no,A route for cyclists only,no,A route for pedestrians and cyclists,no,D
263,6,Vulnerable road users,9,You see a pedestrian carrying a white stick that also has a red band. What does this mean?,yes,They have limited mobility,no,They're deaf,no,They're blind,no,They're deaf and blind,no,D
264,6,Vulnerable road users,10,What should you do if you see older people crossing the road ahead?,yes,Wave them across so they know that you've seen them,no,"Be patient and allow them to cross in their own time
",no,Rev the engine to let them know that you're waiting,no,Tap the horn in case they're hard of hearing,no,B
265,6,Vulnerable road users,11,What should you do when you see an older person about to cross the road ahead?,no,"Expect them to wait for you to pass
",no,Speed up to get past them quickly,no,Stop and wave them across the road,no,Be careful; they may misjudge your speed,no,D
266,6,Vulnerable road users,12,You're approaching a roundabout. What should you do if a cyclist ahead is signalling to turn right?,no,Overtake on the right,no,Give a warning with your horn,no,Signal the cyclist to move across,no,Give the cyclist plenty of room,no,D
267,6,Vulnerable road users,13,Which vehicle should you allow extra room as you overtake them?,no,Lorry ,no,Tractor,no,Bicycle,no,Road-sweeper,no,C
268,6,Vulnerable road users,14,Why should you look carefully for motorcyclists and cyclists at junctions?,no,They may want to turn into the side road,no,They may slow down to let you turn,no,They're harder to see,no,They might not see you turn,no,C
269,6,Vulnerable road users,15,You're waiting to come out of a side road. Why should you look carefully for motorcycles?,no,Motorcycles are usually faster than cars,no,Police patrols often use motorcycles,no,Motorcycles can easily be hidden behind obstructions,no,Motorcycles have right of way,no,C
270,6,Vulnerable road users,16,Why do motorcyclists use dipped headlights in daylight?,no,So that the rider can be seen more easily,no,To stop the battery overcharging,no,To improve the rider's vision,no,The rider is inviting you to proceed,no,A
271,6,Vulnerable road users,17,Why do motorcyclists wear bright clothing?,no,They must do so by law,no,It helps keep them cool in summer,no,The colors are popular,no,To make them more visible,no,D
272,6,Vulnerable road users,18,Why do motorcyclists often look round over their right shoulder just before turning right?,no,To listen for traffic behind them,no,Motorcycles don't have mirrors,no,It helps them balance as they turn,no,To check for traffic in their blind area ,no,D
273,6,Vulnerable road users,19,Which is the most vulnerable road user?,no,Car driver,no,Tractor driver,no,Lorry driver,no,Motorcyclist,no,D
274,6,Vulnerable road users,20,You're approaching a roundabout. What should you do if there are horses being ridden in front of you?,no,Sound your horn as a warning,no,Treat them like any other vehicle,no,Give them plenty of room,no,Accelerate past as quickly as possible,no,C
275,6,Vulnerable road users,21,"As you approach a pelican crossing, the lights change to green. What should you do if older people are still crossing?",no,Wave them to cross as quickly as they can,no,Rev your engine to make them hurry,no,Flash your lights in case they haven't noticed you,no,Wait patiently while they cross,no,D
276,6,Vulnerable road users,22,What action should you take when you see flashing amber lights under a school warning sign?,yes,Reduce speed until you're clear of the area,no,Keep up your speed and sound the horn,no,Increase your speed to clear the area quickly,no,Wait at the lights until they stop flashing,no,A
277,6,Vulnerable road users,23,Why should these road markings be kept clear?,yes,To allow children to be dropped off at school,no,To allow teachers to park,no,To allow children to be picked up after school,no,To allow children to see and be seen when they're crossing the road,no,D
278,6,Vulnerable road users,24,Where would you see this sign?,yes,Near a school crossing,no,At a playground entrance,no,On a school bus,no,At a 'pedestrians only' area,no,C
279,6,Vulnerable road users,25,You're following two cyclists as they approach a roundabout in the left-hand lane. Where would you expect the cyclists to go?,no,Left,no,Right,no,Any direction,no,Straight ahead,no,C
280,6,Vulnerable road users,26,You're travelling behind a moped. What should you do if you want to turn left a short distance ahead?,no,Overtake the moped before the junction,no,Pull alongside the moped and stay level until just before the junction,no,Sound your horn as a warning and pull in front of the moped,no,Stay behind until the moped has passed the junction,no,D
281,6,Vulnerable road users,27,You see a horse rider as you approach a roundabout. What should you do if they're signalling right but keeping well to the left?,yes,Proceed as normal,no,Keep close to them,no,Cut in front of them,no,Stay well back,no,D
282,6,Vulnerable road users,28,How should you react to inexperienced drivers?,no,Sound your horn to warn them of your presence,no,Be patient and prepare for them to react more slowly,no,Flash your headlights to indicate that it's safe for them to proceed,no,Overtake them as soon as possible,no,B
283,6,Vulnerable road users,29,What should you do when you're following a learner driver who stalls at a junction?,no,"Be patient, as you expect them to make mistakes",no,Stay very close behind and flash your headlights,no,Start to rev your engine if they take too long to restart,no,Immediately steer around them and drive on,no,A
284,6,Vulnerable road users,30,You're on a country road that has no pavement. What should you anticipate finding on your side of the road?,no,Motorcycles,no,Bicycles,no,Pedestrians,no,Horse riders,no,C
285,6,Vulnerable road users,31,You're following a cyclist. What should you do when you wish to turn left a short distance ahead?,yes,Overtake the cyclist before you reach the junction,no,Pull alongside the cyclist and stay level until after the junction,no,Hold back until the cyclist has passed the junction,no,Go around the cyclist on the junction,no,C
286,6,Vulnerable road users,32,A horse rider is in the left-hand lane approaching a roundabout. Where should you expect the rider to go?,no,In any direction,no,To the right,no,To the left,no,Straight ahead,no,A
287,6,Vulnerable road users,33,Powered vehicles used by disabled people are small and can be hard to see. What must they display if they're travelling on a dual carriageway?,no,Flashing red beacon ,no,Flashing green beacon ,no,Flashing blue beacon ,no,Flashing amber beacon ,no,D
288,6,Vulnerable road users,34,What does it mean when a moving vehicle is showing a flashing amber beacon?,no,The vehicle is slow moving,no,The vehicle has broken down,no,The vehicle is a doctor's car,no,The vehicle belongs to a school crossing patrol,no,A
289,6,Vulnerable road users,35,What does this sign mean?,yes,Contraflow cycle lane,no,With-flow cycle lane,no,Cycles and buses only,no,No cycles or buses,no,B
290,6,Vulnerable road users,36,What should you do when you see these horse riders in front?,yes,Pull out to the middle of the road,no,Slow down and be ready to stop,no,Switch on your hazard warning lights,no,Give a right-turn signal,no,B
291,6,Vulnerable road users,37,What's the purpose of these road markings?,yes,To ensure children can see and be seen when they're crossing the road,no,To enable teachers to have clear access to the school,no,To ensure delivery vehicles have easy access to the school,no,To enable parents to pick up or drop off children safely,no,A
292,6,Vulnerable road users,38,What should you do if the left-hand pavement is closed due to street repairs?,no,Watch out for pedestrians walking in the road,no,Use your right-hand mirror more often,no,Speed up to get past the roadworks more quickly,no,Position close to the left-hand kerb,no,A
293,6,Vulnerable road users,39,What should you do when you're following a motorcyclist along a road that has a poor surface?,no,Follow closely so they can see you in their mirrors,no,Overtake immediately to avoid delays,no,Allow extra room in case they swerve to avoid potholes,no,Allow the same room as normal to avoid wasting road space,no,C
294,6,Vulnerable road users,40,What does this sign mean?,yes,No cycling,no,Cycle route ahead,no,Cycle parking only,no,End of cycle route,no,B
295,6,Vulnerable road users,41,You're approaching this roundabout. What should you do when a cyclist is keeping to the left while signalling to turn right?,yes,Sound your horn,no,Overtake them,no,Assume they're turning left,no,Allow them space to turn,no,D
296,6,Vulnerable road users,42,What should you do when you're approaching this crossing?,yes,Prepare to slow down and stop,no,Stop and wave the pedestrians across,no,Speed up and pass by quickly,no,Continue unless the pedestrians step out,no,A
297,6,Vulnerable road users,43,What does it mean if you see a pedestrian with a dog that has a yellow or burgundy coat?,no,The pedestrian is an older person,no,The pedestrian is a dog trainer,no,The pedestrian is colour-blind,no,The pedestrian is deaf,no,D
