ID,Topic No.,Topic Name,Q.No,Question,Q.Image,A,A.Image,B,B.Image,C,C.Image,D,D.Image,Answer
144,4,Safety Margins,1,How much can stopping distances increase in icy conditions?,no,Two times,no,Three times,no,Five times,no,Ten times,no,D
145,4,Safety Margins,2,What requires extra care when you're driving or riding in windy conditions?,no,Using the brakes,no,Moving off on a hill,no,Turning into a narrow road,no,Passing pedal cyclists,no,D
146,4,Safety Margins,3,Why should you keep well to the left as you approach a right-hand bend?,yes,To improve your view of the road,no,To overcome the effect of the road's slop,no,To let faster traffic from behind overtake,no,To be positioned safely if you skid,no,A
147,4,Safety Margins,4,You've just gone through flood water. What should you do to make sure your brakes are working properly?,no,Accelerate and keep to a high speed for a short time,no,Go slowly while gently applying the brakes,no,Avoid using the brakes at all for a few miles,no,Stop for at least an hour to allow them time to dry,no,B
148,4,Safety Margins,5,What will be affected if the road surface becomes soft in very hot weather?,no,The suspension,no,The exhaust emissions,no,The fuel consumption,no,The tyre grip,no,D
149,4,Safety Margins,6,Where is your vehicle most likely to be affected by side winds?,no,On a narrow country lane,no,On an open stretch of road,no,On a busy stretch of road,no,"On a long, straight road",no,B
150,4,Safety Margins,7,You're following a vehicle on a wet road. You stay a safe distance behind it. What should you do if a driver overtakes you and pulls into the gap you've left?,no,Flash your headlights as a warning,no,Try to overtake safely as soon as you can,no,Drop back to regain a safe distance,no,Stay close to the other vehicle until it moves on,no,C
151,4,Safety Margins,8,You're travelling on the motorway. How can you lower the risk of a collision when the vehicle behind is following too closely?,no,Increase your distance from the vehicle in front,no,Brake sharply,no,Switch on your hazard warning lights,no,Move onto the hard shoulder and stop,no,A
152,4,Safety Margins,9,You're following other vehicles in fog. You have your headlights on dipped beam. What else can you do to reduce the chances of being in a collision?,no,Keep close to the vehicle in front,no,Use main beam instead of dipped headlights,no,Keep up with the faster vehicles,no,Keep a safe distance from the vehicle in front,no,D
153,4,Safety Margins,10,What should you do when you're using a contraflow system?,no,Choose an appropriate lane in good time,no,Switch lanes to make better progress,no,Increase speed to get through the contraflow more quickly,no,Follow other motorists closely to avoid long queues,no,A
154,4,Safety Margins,11,How can you avoid wheelspin when you're driving on an icy road?,no,Drive at a slow speed in the highest gear possible,no,Use the parking brake if the wheels start to slip,no,Brake gently and repeatedly,no,Drive in a low gear at all times,no,A
155,4,Safety Margins,12,What's the main cause of skidding?,no,The weather,no,The driver,no,The vehicle,no,The road,no,B
156,4,Safety Margins,13,You're driving in freezing conditions. What should you do as you approach a sharp bend?,no,Coast into the bend,no,Apply your parking brake,no,Firmly use your footbrake,no,Slow down gently,no,D
157,4,Safety Margins,14,You're about to start a journey in freezing weather. What part of your vehicle should you clear of ice and snow?,no,The aerial,no,The windows,no,The bumper,no,The boot,no,B
158,4,Safety Margins,15,What will help you to move off on a snowy surface?,no,Using the car's lowest gear,no,Using a higher gear than normal,no,Using a high engine speed,no,Using the parking brake and footbrake together,no,B
159,4,Safety Margins,16,What should you do when you're driving in snowy conditions?,no,Brake firmly and quickly,no,Be ready to steer sharply,no,Use sidelights only,no,Brake gently in plenty of time,no,D
160,4,Safety Margins,17,What's the main benefit of driving a four-wheel-drive vehicle?,no,Improved grip on the road,no,Lower fuel consumption,no,Shorter stopping distances,no,Improved passenger comfort,no,A
161,4,Safety Margins,18,You're about to go down a steep hill. What should you do to control the speed of your vehicle?,no,Select a high gear and use the brakes carefully,no,Select a high gear and use the brakes firmly,no,Select a low gear and use the brakes carefully,no,Select a low gear and avoid using the brakes,no,C
162,4,Safety Margins,19,What should you do when you park a car facing downhill?,no,Turn the steering wheel towards the kerb,no,Park close to the bumper of another car,no,Park with two wheels on the kerb,no,Turn the steering wheel away from the kerb,no,A
163,4,Safety Margins,20,You're driving in a built-up area that has traffic-calming measures. What should you do when you approach a road hump?,yes,Move across to the left-hand side of the road,no,Wait for any pedestrians to cross,no,Check your mirror and slow down,no,Stop and check both pavements,no,C
164,4,Safety Margins,21,On what type of road surface may anti-lock brakes be ineffective?,no,Dry,no,Loose,no,Firm,no,Smooth,no,B
165,4,Safety Margins,22,You're driving a vehicle that has anti-lock brakes. How should you apply the footbrake when you need to stop in an emergency?,no,Slowly and gently,no,Slowly but firmly,no,Rapidly and gently,no,Rapidly and firmly,no,D
166,4,Safety Margins,23,You're driving along a country road. You see this sign. What should you do after dealing safely with the hazard?,yes,Check your tyre pressures,no,Switch on your hazard warning lights,no,Accelerate briskly,no,Test your brakes,no,D
167,4,Safety Margins,24,What would suggest you're driving on an icy road?,no,There's less wind noise,no,There's less tyre noise,no,There's less transmission noise,no,There's less engine noise,no,B
168,4,Safety Margins,25,You're driving along a wet road. How can you tell if your vehicle's tyres are losing their grip on the surface?,no,The engine will stall,no,The steering will feel very heavy,no,The engine noise will increase ,no,The steering will feel very light ,no,D
169,4,Safety Margins,26,In which conditions will your overall stopping distance increase?,no,In the rain,no,In fog,no,At night,no,In strong winds,no,A
170,4,Safety Margins,27,You're driving on an open road in dry weather. What distance should you keep from the vehicle in front?,yes,A two-second time gap ,no,One car length,no,Two metres (6 feet 6 inches),no,Two car lengths,no,A
171,4,Safety Margins,28,How can you use your vehicle's engine as a brake?,no,By changing to a lower gear,no,By selecting reverse gear,no,By changing to a higher gear,no,By selecting neutral gear,no,A
172,4,Safety Margins,29,How should you use anti-lock brakes when you need to stop in an emergency?,no,Keep pumping the footbrake to prevent skidding,no,Brake normally but grip the steering wheel tightly,no,Brake promptly and firmly until you've stopped,no,Apply the parking brake to reduce the stopping distance,no,C
173,4,Safety Margins,30,What lights should you use when you're driving on a wet motorway and vehicles are throwing up surface spray?,no,Hazard warning lights,no,Dipped headlights,no,Rear fog lights,no,Sidelights,no,B
174,4,Safety Margins,31,What can result when you travel for long distances in neutral (known as coasting)?,no,Improvement in control,no,Easier steering,no,Reduction in control,no,Increased fuel consumption,no,C
175,4,Safety Margins,32,What should you do before starting a journey in foggy weather?,no,Wear a hi-visibility jacket,no,Have a caffeinated drink,no,Allow more time,no,Reduce your tyre pressures,no,C
176,4,Safety Margins,33,What should you do when you're overtaking a motorcyclist on a windy day?,no,Pass closely,no,Pass very slowly,no,Pass widely,no,Pass immediately,no,C
